# BEGIN PLOT
XLabel=$\ln (R/\Delta R)$
YMax=5.96
XMax=4.33
Title=$\frac{1}{N_{jets}}\frac{d^{2} N_{emissions}}{d\ln (R/\Delta R) d\ln (1/z)}$
YLabel=$\ln (1/z)$
LogY=0
# END PLOT

# BEGIN HISTO2D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1790256/d01-x01-y01
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/ATLAS_2020_I1790256/d01-x01-y01
ScaledBy=7.52506948932304022e+03
Title=25Dec2022_py8
# xlow	 xhigh	 ylow	 yhigh	 val	 errminus	 errplus
6.666670e-01	1.000000e+00	4.297510e+00	4.574770e+00	6.720912e-01	4.834571e-02	4.834571e-02
6.666670e-01	1.000000e+00	4.574770e+00	4.852030e+00	7.582180e-01	5.046210e-02	5.046210e-02
6.666670e-01	1.000000e+00	4.852030e+00	5.129290e+00	6.780700e-01	4.537797e-02	4.537797e-02
6.666670e-01	1.000000e+00	5.129290e+00	5.406550e+00	5.119314e-01	3.821276e-02	3.821276e-02
6.666670e-01	1.000000e+00	5.406550e+00	5.683810e+00	5.778464e-01	4.288439e-02	4.288439e-02
6.666670e-01	1.000000e+00	5.683810e+00	5.961070e+00	4.299279e-01	4.013460e-02	4.013460e-02
1.000000e+00	1.333330e+00	6.931470e-01	9.704060e-01	2.086411e-01	2.571315e-02	2.571315e-02
1.000000e+00	1.333330e+00	9.704060e-01	1.247660e+00	2.042292e-01	2.642725e-02	2.642725e-02
1.000000e+00	1.333330e+00	1.247660e+00	1.524920e+00	1.172366e-01	1.828781e-02	1.828781e-02
1.000000e+00	1.333330e+00	1.524920e+00	1.802180e+00	1.542678e-01	2.277068e-02	2.277068e-02
1.000000e+00	1.333330e+00	1.802180e+00	2.079440e+00	1.883078e-01	2.352720e-02	2.352720e-02
1.000000e+00	1.333330e+00	2.079440e+00	2.356700e+00	2.221703e-01	2.827103e-02	2.827103e-02
1.000000e+00	1.333330e+00	2.356700e+00	2.633960e+00	2.476347e-01	2.860561e-02	2.860561e-02
1.000000e+00	1.333330e+00	2.633960e+00	2.911220e+00	3.118868e-01	3.327024e-02	3.327024e-02
1.000000e+00	1.333330e+00	2.911220e+00	3.188480e+00	3.113742e-01	3.241787e-02	3.241787e-02
1.000000e+00	1.333330e+00	3.188480e+00	3.465740e+00	4.405072e-01	4.000813e-02	4.000813e-02
1.000000e+00	1.333330e+00	3.465740e+00	3.742990e+00	4.615846e-01	4.289413e-02	4.289413e-02
1.000000e+00	1.333330e+00	3.742990e+00	4.020250e+00	5.491810e-01	4.052618e-02	4.052618e-02
1.000000e+00	1.333330e+00	4.020250e+00	4.297510e+00	5.786516e-01	4.293439e-02	4.293439e-02
1.000000e+00	1.333330e+00	4.297510e+00	4.574770e+00	6.596704e-01	4.482223e-02	4.482223e-02
1.000000e+00	1.333330e+00	4.574770e+00	4.852030e+00	5.980065e-01	4.169529e-02	4.169529e-02
1.000000e+00	1.333330e+00	4.852030e+00	5.129290e+00	5.718137e-01	4.143715e-02	4.143715e-02
1.000000e+00	1.333330e+00	5.129290e+00	5.406550e+00	4.193985e-01	3.463077e-02	3.463077e-02
1.000000e+00	1.333330e+00	5.406550e+00	5.683810e+00	3.318736e-01	2.881558e-02	2.881558e-02
1.000000e+00	1.333330e+00	5.683810e+00	5.961070e+00	2.900834e-01	2.802495e-02	2.802495e-02
1.333330e+00	1.666670e+00	6.931470e-01	9.704060e-01	2.572499e-01	3.778071e-02	3.778071e-02
1.333330e+00	1.666670e+00	9.704060e-01	1.247660e+00	2.011808e-01	2.663852e-02	2.663852e-02
1.333330e+00	1.666670e+00	1.247660e+00	1.524920e+00	2.644558e-01	3.494367e-02	3.494367e-02
1.333330e+00	1.666670e+00	1.524920e+00	1.802180e+00	2.150151e-01	3.046616e-02	3.046616e-02
1.333330e+00	1.666670e+00	1.802180e+00	2.079440e+00	2.007754e-01	2.844191e-02	2.844191e-02
1.333330e+00	1.666670e+00	2.079440e+00	2.356700e+00	2.660532e-01	3.075460e-02	3.075460e-02
1.333330e+00	1.666670e+00	2.356700e+00	2.633960e+00	2.909175e-01	3.035003e-02	3.035003e-02
1.333330e+00	1.666670e+00	2.633960e+00	2.911220e+00	3.958094e-01	3.653150e-02	3.653150e-02
1.333330e+00	1.666670e+00	2.911220e+00	3.188480e+00	4.083267e-01	3.669529e-02	3.669529e-02
1.333330e+00	1.666670e+00	3.188480e+00	3.465740e+00	4.972978e-01	4.005299e-02	4.005299e-02
1.333330e+00	1.666670e+00	3.465740e+00	3.742990e+00	6.313069e-01	5.238967e-02	5.238967e-02
1.333330e+00	1.666670e+00	3.742990e+00	4.020250e+00	5.521215e-01	4.205558e-02	4.205558e-02
1.333330e+00	1.666670e+00	4.020250e+00	4.297510e+00	5.720292e-01	4.262767e-02	4.262767e-02
1.333330e+00	1.666670e+00	4.297510e+00	4.574770e+00	5.488276e-01	3.964976e-02	3.964976e-02
1.333330e+00	1.666670e+00	4.574770e+00	4.852030e+00	4.314818e-01	3.346253e-02	3.346253e-02
1.333330e+00	1.666670e+00	4.852030e+00	5.129290e+00	4.063748e-01	3.451728e-02	3.451728e-02
1.333330e+00	1.666670e+00	5.129290e+00	5.406550e+00	3.539885e-01	3.283555e-02	3.283555e-02
1.333330e+00	1.666670e+00	5.406550e+00	5.683810e+00	2.410541e-01	2.722588e-02	2.722588e-02
1.333330e+00	1.666670e+00	5.683810e+00	5.961070e+00	1.453308e-01	1.890973e-02	1.890973e-02
1.666670e+00	2.000000e+00	6.931470e-01	9.704060e-01	2.654307e-01	3.301631e-02	3.301631e-02
1.666670e+00	2.000000e+00	9.704060e-01	1.247660e+00	1.650219e-01	2.533546e-02	2.533546e-02
1.666670e+00	2.000000e+00	1.247660e+00	1.524920e+00	2.298472e-01	2.564582e-02	2.564582e-02
1.666670e+00	2.000000e+00	1.524920e+00	1.802180e+00	2.822692e-01	3.248432e-02	3.248432e-02
1.666670e+00	2.000000e+00	1.802180e+00	2.079440e+00	2.886450e-01	3.540855e-02	3.540855e-02
1.666670e+00	2.000000e+00	2.079440e+00	2.356700e+00	3.239802e-01	3.284777e-02	3.284777e-02
1.666670e+00	2.000000e+00	2.356700e+00	2.633960e+00	4.499711e-01	4.145021e-02	4.145021e-02
1.666670e+00	2.000000e+00	2.633960e+00	2.911220e+00	5.161121e-01	4.352638e-02	4.352638e-02
1.666670e+00	2.000000e+00	2.911220e+00	3.188480e+00	6.146446e-01	4.710976e-02	4.710976e-02
1.666670e+00	2.000000e+00	3.188480e+00	3.465740e+00	5.704308e-01	4.631951e-02	4.631951e-02
1.666670e+00	2.000000e+00	3.465740e+00	3.742990e+00	6.680433e-01	4.426312e-02	4.426312e-02
1.666670e+00	2.000000e+00	3.742990e+00	4.020250e+00	6.237168e-01	4.200393e-02	4.200393e-02
1.666670e+00	2.000000e+00	4.020250e+00	4.297510e+00	4.887099e-01	4.072402e-02	4.072402e-02
1.666670e+00	2.000000e+00	4.297510e+00	4.574770e+00	5.252270e-01	4.130610e-02	4.130610e-02
1.666670e+00	2.000000e+00	4.574770e+00	4.852030e+00	3.937657e-01	3.313379e-02	3.313379e-02
1.666670e+00	2.000000e+00	4.852030e+00	5.129290e+00	2.924361e-01	3.249016e-02	3.249016e-02
1.666670e+00	2.000000e+00	5.129290e+00	5.406550e+00	1.850255e-01	2.062562e-02	2.062562e-02
1.666670e+00	2.000000e+00	5.406550e+00	5.683810e+00	1.380789e-01	2.080710e-02	2.080710e-02
1.666670e+00	2.000000e+00	5.683810e+00	5.961070e+00	1.037881e-01	2.240937e-02	2.240937e-02
2.000000e+00	2.333330e+00	6.931470e-01	9.704060e-01	3.204603e-01	3.732292e-02	3.732292e-02
2.000000e+00	2.333330e+00	9.704060e-01	1.247660e+00	2.358342e-01	2.606654e-02	2.606654e-02
2.000000e+00	2.333330e+00	1.247660e+00	1.524920e+00	2.276852e-01	3.095371e-02	3.095371e-02
2.000000e+00	2.333330e+00	1.524920e+00	1.802180e+00	2.486057e-01	2.781619e-02	2.781619e-02
2.000000e+00	2.333330e+00	1.802180e+00	2.079440e+00	3.591384e-01	3.408315e-02	3.408315e-02
2.000000e+00	2.333330e+00	2.079440e+00	2.356700e+00	4.257602e-01	3.772801e-02	3.772801e-02
2.000000e+00	2.333330e+00	2.356700e+00	2.633960e+00	4.927278e-01	4.016272e-02	4.016272e-02
2.000000e+00	2.333330e+00	2.633960e+00	2.911220e+00	5.612058e-01	4.522143e-02	4.522143e-02
2.000000e+00	2.333330e+00	2.911220e+00	3.188480e+00	6.002466e-01	4.679316e-02	4.679316e-02
2.000000e+00	2.333330e+00	3.188480e+00	3.465740e+00	6.209863e-01	4.479583e-02	4.479583e-02
2.000000e+00	2.333330e+00	3.465740e+00	3.742990e+00	5.741586e-01	3.852314e-02	3.852314e-02
2.000000e+00	2.333330e+00	3.742990e+00	4.020250e+00	5.817194e-01	4.147075e-02	4.147075e-02
2.000000e+00	2.333330e+00	4.020250e+00	4.297510e+00	4.233669e-01	3.471959e-02	3.471959e-02
2.000000e+00	2.333330e+00	4.297510e+00	4.574770e+00	3.535153e-01	3.300470e-02	3.300470e-02
2.000000e+00	2.333330e+00	4.574770e+00	4.852030e+00	2.440450e-01	2.778474e-02	2.778474e-02
2.000000e+00	2.333330e+00	4.852030e+00	5.129290e+00	1.938287e-01	2.499944e-02	2.499944e-02
2.000000e+00	2.333330e+00	5.129290e+00	5.406550e+00	1.537600e-01	2.369761e-02	2.369761e-02
2.000000e+00	2.333330e+00	5.406550e+00	5.683810e+00	9.354608e-02	1.585178e-02	1.585178e-02
2.000000e+00	2.333330e+00	5.683810e+00	5.961070e+00	5.451712e-02	1.058825e-02	1.058825e-02
2.333330e+00	2.666670e+00	6.931470e-01	9.704060e-01	4.636629e-01	4.633663e-02	4.633663e-02
2.333330e+00	2.666670e+00	9.704060e-01	1.247660e+00	3.244746e-01	3.148326e-02	3.148326e-02
2.333330e+00	2.666670e+00	1.247660e+00	1.524920e+00	3.399491e-01	3.477166e-02	3.477166e-02
2.333330e+00	2.666670e+00	1.524920e+00	1.802180e+00	4.038067e-01	3.723075e-02	3.723075e-02
2.333330e+00	2.666670e+00	1.802180e+00	2.079440e+00	5.052592e-01	4.641589e-02	4.641589e-02
2.333330e+00	2.666670e+00	2.079440e+00	2.356700e+00	6.440763e-01	5.134394e-02	5.134394e-02
2.333330e+00	2.666670e+00	2.356700e+00	2.633960e+00	6.934416e-01	4.847770e-02	4.847770e-02
2.333330e+00	2.666670e+00	2.633960e+00	2.911220e+00	5.935281e-01	4.428689e-02	4.428689e-02
2.333330e+00	2.666670e+00	2.911220e+00	3.188480e+00	6.497689e-01	4.582839e-02	4.582839e-02
2.333330e+00	2.666670e+00	3.188480e+00	3.465740e+00	5.564591e-01	3.997029e-02	3.997029e-02
2.333330e+00	2.666670e+00	3.465740e+00	3.742990e+00	5.191096e-01	3.797584e-02	3.797584e-02
2.333330e+00	2.666670e+00	3.742990e+00	4.020250e+00	3.242267e-01	3.041956e-02	3.041956e-02
2.333330e+00	2.666670e+00	4.020250e+00	4.297510e+00	3.507095e-01	3.137571e-02	3.137571e-02
2.333330e+00	2.666670e+00	4.297510e+00	4.574770e+00	2.131026e-01	2.313924e-02	2.313924e-02
2.333330e+00	2.666670e+00	4.574770e+00	4.852030e+00	1.660527e-01	2.088793e-02	2.088793e-02
2.333330e+00	2.666670e+00	4.852030e+00	5.129290e+00	9.141668e-02	1.580118e-02	1.580118e-02
2.333330e+00	2.666670e+00	5.129290e+00	5.406550e+00	6.547443e-02	1.560690e-02	1.560690e-02
2.333330e+00	2.666670e+00	5.406550e+00	5.683810e+00	6.016670e-02	1.206441e-02	1.206441e-02
2.333330e+00	2.666670e+00	5.683810e+00	5.961070e+00	3.096824e-02	1.166279e-02	1.166279e-02
2.666670e+00	3.000000e+00	6.931470e-01	9.704060e-01	5.237069e-01	4.579839e-02	4.579839e-02
2.666670e+00	3.000000e+00	9.704060e-01	1.247660e+00	5.071766e-01	4.529287e-02	4.529287e-02
2.666670e+00	3.000000e+00	1.247660e+00	1.524920e+00	5.113272e-01	4.656256e-02	4.656256e-02
2.666670e+00	3.000000e+00	1.524920e+00	1.802180e+00	5.168659e-01	4.007006e-02	4.007006e-02
2.666670e+00	3.000000e+00	1.802180e+00	2.079440e+00	5.929808e-01	4.630828e-02	4.630828e-02
2.666670e+00	3.000000e+00	2.079440e+00	2.356700e+00	6.533245e-01	4.905150e-02	4.905150e-02
2.666670e+00	3.000000e+00	2.356700e+00	2.633960e+00	6.380238e-01	4.675144e-02	4.675144e-02
2.666670e+00	3.000000e+00	2.633960e+00	2.911220e+00	6.602379e-01	4.480252e-02	4.480252e-02
2.666670e+00	3.000000e+00	2.911220e+00	3.188480e+00	5.407227e-01	3.866202e-02	3.866202e-02
2.666670e+00	3.000000e+00	3.188480e+00	3.465740e+00	4.629144e-01	3.752824e-02	3.752824e-02
2.666670e+00	3.000000e+00	3.465740e+00	3.742990e+00	3.903173e-01	3.366025e-02	3.366025e-02
2.666670e+00	3.000000e+00	3.742990e+00	4.020250e+00	2.265903e-01	2.256735e-02	2.256735e-02
2.666670e+00	3.000000e+00	4.020250e+00	4.297510e+00	1.755645e-01	2.161469e-02	2.161469e-02
2.666670e+00	3.000000e+00	4.297510e+00	4.574770e+00	1.114415e-01	1.642436e-02	1.642436e-02
2.666670e+00	3.000000e+00	4.574770e+00	4.852030e+00	8.534839e-02	1.432639e-02	1.432639e-02
2.666670e+00	3.000000e+00	4.852030e+00	5.129290e+00	6.806968e-02	1.793758e-02	1.793758e-02
2.666670e+00	3.000000e+00	5.129290e+00	5.406550e+00	4.678306e-02	1.200877e-02	1.200877e-02
2.666670e+00	3.000000e+00	5.406550e+00	5.683810e+00	2.138012e-02	6.946946e-03	6.946946e-03
2.666670e+00	3.000000e+00	5.683810e+00	5.961070e+00	9.020581e-03	3.307680e-03	3.307680e-03
3.000000e+00	3.333330e+00	6.931470e-01	9.704060e-01	8.120353e-01	5.784889e-02	5.784889e-02
3.000000e+00	3.333330e+00	9.704060e-01	1.247660e+00	7.038820e-01	5.074418e-02	5.074418e-02
3.000000e+00	3.333330e+00	1.247660e+00	1.524920e+00	6.143216e-01	4.743321e-02	4.743321e-02
3.000000e+00	3.333330e+00	1.524920e+00	1.802180e+00	5.798513e-01	4.191199e-02	4.191199e-02
3.000000e+00	3.333330e+00	1.802180e+00	2.079440e+00	5.824605e-01	4.441734e-02	4.441734e-02
3.000000e+00	3.333330e+00	2.079440e+00	2.356700e+00	6.680691e-01	4.520880e-02	4.520880e-02
3.000000e+00	3.333330e+00	2.356700e+00	2.633960e+00	5.806804e-01	4.075558e-02	4.075558e-02
3.000000e+00	3.333330e+00	2.633960e+00	2.911220e+00	5.177283e-01	3.771317e-02	3.771317e-02
3.000000e+00	3.333330e+00	2.911220e+00	3.188480e+00	3.763491e-01	3.119148e-02	3.119148e-02
3.000000e+00	3.333330e+00	3.188480e+00	3.465740e+00	3.198676e-01	3.184271e-02	3.184271e-02
3.000000e+00	3.333330e+00	3.465740e+00	3.742990e+00	2.440224e-01	3.008087e-02	3.008087e-02
3.000000e+00	3.333330e+00	3.742990e+00	4.020250e+00	1.466399e-01	1.982444e-02	1.982444e-02
3.000000e+00	3.333330e+00	4.020250e+00	4.297510e+00	1.088417e-01	1.925409e-02	1.925409e-02
3.000000e+00	3.333330e+00	4.297510e+00	4.574770e+00	5.282801e-02	9.706985e-03	9.706985e-03
3.000000e+00	3.333330e+00	4.574770e+00	4.852030e+00	4.442774e-02	1.153114e-02	1.153114e-02
3.000000e+00	3.333330e+00	4.852030e+00	5.129290e+00	1.322518e-02	4.491794e-03	4.491794e-03
3.000000e+00	3.333330e+00	5.129290e+00	5.406550e+00	1.528695e-02	6.152172e-03	6.152172e-03
3.000000e+00	3.333330e+00	5.406550e+00	5.683810e+00	1.398574e-02	5.787365e-03	5.787365e-03
3.000000e+00	3.333330e+00	5.683810e+00	5.961070e+00	1.507946e-03	9.173470e-04	9.173470e-04
